group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,fst,0.05,,,1083173.0,ns,4
vecmul,fst,0.05,,,2157410.0,ns,8
vecmul,fst,0.05,,,3239823.0,ns,12
vecmul,fst,0.05,,,4321176.0,ns,16
vecmul,fst,0.05,,,5398037.0,ns,20
vecmul,fst,0.05,,,6474152.0,ns,24
vecmul,fst,0.05,,,7555421.0,ns,28
vecmul,fst,0.05,,,8634675.0,ns,32
vecmul,fst,0.05,,,9714891.0,ns,36
vecmul,fst,0.05,,,10792356.0,ns,40
vecmul,fst,0.05,,,11877262.0,ns,44
vecmul,fst,0.05,,,12955411.0,ns,48
vecmul,fst,0.05,,,14059258.0,ns,52
vecmul,fst,0.05,,,15109538.0,ns,56
vecmul,fst,0.05,,,16190949.0,ns,60
vecmul,fst,0.05,,,17268330.0,ns,64
vecmul,fst,0.05,,,18356324.0,ns,68
vecmul,fst,0.05,,,19436814.0,ns,72
vecmul,fst,0.05,,,20512952.0,ns,76
vecmul,fst,0.05,,,21588293.0,ns,80
vecmul,fst,0.05,,,22667670.0,ns,84
vecmul,fst,0.05,,,23775051.0,ns,88
vecmul,fst,0.05,,,24823436.0,ns,92
vecmul,fst,0.05,,,25910014.0,ns,96
vecmul,fst,0.05,,,26989654.0,ns,100
vecmul,fst,0.05,,,28060215.0,ns,104
vecmul,fst,0.05,,,29145542.0,ns,108
vecmul,fst,0.05,,,30219001.0,ns,112
vecmul,fst,0.05,,,31305479.0,ns,116
vecmul,fst,0.05,,,32384906.0,ns,120
vecmul,fst,0.05,,,33472860.0,ns,124
vecmul,fst,0.05,,,34537146.0,ns,128
vecmul,fst,0.05,,,35645119.0,ns,132
vecmul,fst,0.05,,,36732468.0,ns,136
vecmul,fst,0.05,,,37776228.0,ns,140
vecmul,fst,0.05,,,38868987.0,ns,144
vecmul,fst,0.05,,,39941820.0,ns,148
vecmul,fst,0.05,,,41019754.0,ns,152
vecmul,fst,0.05,,,42096721.0,ns,156
vecmul,fst,0.05,,,43185257.0,ns,160
vecmul,fst,0.05,,,44352582.0,ns,164
vecmul,fst,0.05,,,51803806.0,ns,168
vecmul,fst,0.05,,,46423049.0,ns,172
vecmul,fst,0.05,,,47523249.0,ns,176
vecmul,fst,0.05,,,48578464.0,ns,180
vecmul,fst,0.05,,,49838285.0,ns,184
vecmul,fst,0.05,,,50732468.0,ns,188
vecmul,fst,0.05,,,51873401.0,ns,192
vecmul,fst,0.05,,,52889479.0,ns,196
vecmul,fst,0.05,,,53966429.0,ns,200
vecmul,fst,0.05,,,55048469.0,ns,204
vecmul,fst,0.05,,,56126834.0,ns,208
vecmul,fst,0.05,,,57228976.0,ns,212
vecmul,fst,0.05,,,58292677.0,ns,216
vecmul,fst,0.05,,,59376504.0,ns,220
vecmul,fst,0.05,,,60461339.0,ns,224
vecmul,fst,0.05,,,61525354.0,ns,228
vecmul,fst,0.05,,,62607661.0,ns,232
vecmul,fst,0.05,,,63879876.0,ns,236
vecmul,fst,0.05,,,64789697.0,ns,240
vecmul,fst,0.05,,,65850479.0,ns,244
vecmul,fst,0.05,,,66923430.0,ns,248
vecmul,fst,0.05,,,68081433.0,ns,252
vecmul,fst,0.05,,,69116962.0,ns,256
vecmul,fst,0.05,,,70150960.0,ns,260
vecmul,fst,0.05,,,71326913.0,ns,264
vecmul,fst,0.05,,,72332370.0,ns,268
vecmul,fst,0.05,,,73424766.0,ns,272
vecmul,fst,0.05,,,74479649.0,ns,276
vecmul,fst,0.05,,,75553048.0,ns,280
vecmul,fst,0.05,,,76662062.0,ns,284
vecmul,fst,0.05,,,77745434.0,ns,288
vecmul,fst,0.05,,,78875915.0,ns,292
vecmul,fst,0.05,,,79898655.0,ns,296
vecmul,fst,0.05,,,80987456.0,ns,300
vecmul,fst,0.05,,,82071911.0,ns,304
vecmul,fst,0.05,,,83264894.0,ns,308
vecmul,fst,0.05,,,84191225.0,ns,312
vecmul,fst,0.05,,,85347392.0,ns,316
vecmul,fst,0.05,,,86372245.0,ns,320
vecmul,fst,0.05,,,87431981.0,ns,324
vecmul,fst,0.05,,,88507096.0,ns,328
vecmul,fst,0.05,,,89595413.0,ns,332
vecmul,fst,0.05,,,90694801.0,ns,336
vecmul,fst,0.05,,,91859341.0,ns,340
vecmul,fst,0.05,,,92857223.0,ns,344
vecmul,fst,0.05,,,93930083.0,ns,348
vecmul,fst,0.05,,,95014489.0,ns,352
vecmul,fst,0.05,,,96069688.0,ns,356
vecmul,fst,0.05,,,97191698.0,ns,360
vecmul,fst,0.05,,,98215885.0,ns,364
vecmul,fst,0.05,,,99301198.0,ns,368
vecmul,fst,0.05,,,100386004.0,ns,372
vecmul,fst,0.05,,,101536740.0,ns,376
vecmul,fst,0.05,,,102618166.0,ns,380
vecmul,fst,0.05,,,103641641.0,ns,384
vecmul,fst,0.05,,,107932633.0,ns,388
vecmul,fst,0.05,,,105954701.0,ns,392
vecmul,fst,0.05,,,106858801.0,ns,396
vecmul,fst,0.05,,,107965634.0,ns,400
