group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,csr vecmul,0.08,,,1047014.0,ns,20
vecmul,csr vecmul,0.08,,,2080395.0,ns,40
vecmul,csr vecmul,0.08,,,3123238.0,ns,60
vecmul,csr vecmul,0.08,,,4171440.0,ns,80
vecmul,csr vecmul,0.08,,,5203948.0,ns,100
vecmul,csr vecmul,0.08,,,6250852.0,ns,120
vecmul,csr vecmul,0.08,,,7286468.0,ns,140
vecmul,csr vecmul,0.08,,,8327777.0,ns,160
vecmul,csr vecmul,0.08,,,9498778.0,ns,180
vecmul,csr vecmul,0.08,,,10423333.0,ns,200
vecmul,csr vecmul,0.08,,,11450544.0,ns,220
vecmul,csr vecmul,0.08,,,12490525.0,ns,240
vecmul,csr vecmul,0.08,,,13530822.0,ns,260
vecmul,csr vecmul,0.08,,,14576892.0,ns,280
vecmul,csr vecmul,0.08,,,15613425.0,ns,300
vecmul,csr vecmul,0.08,,,16655236.0,ns,320
vecmul,csr vecmul,0.08,,,17728890.0,ns,340
vecmul,csr vecmul,0.08,,,18739356.0,ns,360
vecmul,csr vecmul,0.08,,,19777286.0,ns,380
vecmul,csr vecmul,0.08,,,20823959.0,ns,400
vecmul,csr vecmul,0.08,,,21890897.0,ns,420
vecmul,csr vecmul,0.08,,,22900859.0,ns,440
vecmul,csr vecmul,0.08,,,23944714.0,ns,460
vecmul,csr vecmul,0.08,,,24984878.0,ns,480
vecmul,csr vecmul,0.08,,,26023047.0,ns,500
vecmul,csr vecmul,0.08,,,27064557.0,ns,520
vecmul,csr vecmul,0.08,,,28104809.0,ns,540
vecmul,csr vecmul,0.08,,,29147262.0,ns,560
vecmul,csr vecmul,0.08,,,30188697.0,ns,580
vecmul,csr vecmul,0.08,,,31330010.0,ns,600
vecmul,csr vecmul,0.08,,,32272108.0,ns,620
vecmul,csr vecmul,0.08,,,33312530.0,ns,640
vecmul,csr vecmul,0.08,,,34352019.0,ns,660
vecmul,csr vecmul,0.08,,,35390874.0,ns,680
vecmul,csr vecmul,0.08,,,36432367.0,ns,700
vecmul,csr vecmul,0.08,,,37477795.0,ns,720
vecmul,csr vecmul,0.08,,,38515215.0,ns,740
vecmul,csr vecmul,0.08,,,39622109.0,ns,760
vecmul,csr vecmul,0.08,,,40633411.0,ns,780
vecmul,csr vecmul,0.08,,,41637052.0,ns,800
vecmul,csr vecmul,0.08,,,42676270.0,ns,820
vecmul,csr vecmul,0.08,,,43736155.0,ns,840
vecmul,csr vecmul,0.08,,,44763641.0,ns,860
vecmul,csr vecmul,0.08,,,45803285.0,ns,880
vecmul,csr vecmul,0.08,,,46848726.0,ns,900
vecmul,csr vecmul,0.08,,,47912374.0,ns,920
vecmul,csr vecmul,0.08,,,48931354.0,ns,940
vecmul,csr vecmul,0.08,,,49978944.0,ns,960
vecmul,csr vecmul,0.08,,,51034482.0,ns,980
vecmul,csr vecmul,0.08,,,52046349.0,ns,1000
vecmul,csr vecmul,0.08,,,53090732.0,ns,1020
vecmul,csr vecmul,0.08,,,54155432.0,ns,1040
vecmul,csr vecmul,0.08,,,55249316.0,ns,1060
vecmul,csr vecmul,0.08,,,56215936.0,ns,1080
vecmul,csr vecmul,0.08,,,57279424.0,ns,1100
vecmul,csr vecmul,0.08,,,58291529.0,ns,1120
vecmul,csr vecmul,0.08,,,59340680.0,ns,1140
vecmul,csr vecmul,0.08,,,60402698.0,ns,1160
vecmul,csr vecmul,0.08,,,61419770.0,ns,1180
vecmul,csr vecmul,0.08,,,62456786.0,ns,1200
vecmul,csr vecmul,0.08,,,63551749.0,ns,1220
vecmul,csr vecmul,0.08,,,64546750.0,ns,1240
vecmul,csr vecmul,0.08,,,65756753.0,ns,1260
vecmul,csr vecmul,0.08,,,66625761.0,ns,1280
vecmul,csr vecmul,0.08,,,67697002.0,ns,1300
vecmul,csr vecmul,0.08,,,68705607.0,ns,1320
vecmul,csr vecmul,0.08,,,69748301.0,ns,1340
vecmul,csr vecmul,0.08,,,70816745.0,ns,1360
vecmul,csr vecmul,0.08,,,71905441.0,ns,1380
vecmul,csr vecmul,0.08,,,72870608.0,ns,1400
vecmul,csr vecmul,0.08,,,77099628.0,ns,1420
vecmul,csr vecmul,0.08,,,75007680.0,ns,1440
vecmul,csr vecmul,0.08,,,76012349.0,ns,1460
vecmul,csr vecmul,0.08,,,77031404.0,ns,1480
vecmul,csr vecmul,0.08,,,78072922.0,ns,1500
vecmul,csr vecmul,0.08,,,79140421.0,ns,1520
vecmul,csr vecmul,0.08,,,80154059.0,ns,1540
vecmul,csr vecmul,0.08,,,81191782.0,ns,1560
vecmul,csr vecmul,0.08,,,82261366.0,ns,1580
vecmul,csr vecmul,0.08,,,83311506.0,ns,1600
vecmul,csr vecmul,0.08,,,84319431.0,ns,1620
vecmul,csr vecmul,0.08,,,85435170.0,ns,1640
vecmul,csr vecmul,0.08,,,86396440.0,ns,1660
vecmul,csr vecmul,0.08,,,87469255.0,ns,1680
vecmul,csr vecmul,0.08,,,88483877.0,ns,1700
vecmul,csr vecmul,0.08,,,94148845.0,ns,1720
vecmul,csr vecmul,0.08,,,90608547.0,ns,1740
vecmul,csr vecmul,0.08,,,91776862.0,ns,1760
vecmul,csr vecmul,0.08,,,92655447.0,ns,1780
vecmul,csr vecmul,0.08,,,93722195.0,ns,1800
vecmul,csr vecmul,0.08,,,94763009.0,ns,1820
vecmul,csr vecmul,0.08,,,95782135.0,ns,1840
vecmul,csr vecmul,0.08,,,96955280.0,ns,1860
vecmul,csr vecmul,0.08,,,97887275.0,ns,1880
vecmul,csr vecmul,0.08,,,98900618.0,ns,1900
vecmul,csr vecmul,0.08,,,100037727.0,ns,1920
vecmul,csr vecmul,0.08,,,101008577.0,ns,1940
vecmul,csr vecmul,0.08,,,102015583.0,ns,1960
vecmul,csr vecmul,0.08,,,103060197.0,ns,1980
vecmul,csr vecmul,0.08,,,104151934.0,ns,2000
