group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,fst vecmul,0.02,,,1001238.0,ns,7
vecmul,fst vecmul,0.02,,,1996298.0,ns,14
vecmul,fst vecmul,0.02,,,2990171.0,ns,21
vecmul,fst vecmul,0.02,,,3988721.0,ns,28
vecmul,fst vecmul,0.02,,,4987214.0,ns,35
vecmul,fst vecmul,0.02,,,5982522.0,ns,42
vecmul,fst vecmul,0.02,,,6980403.0,ns,49
vecmul,fst vecmul,0.02,,,7979524.0,ns,56
vecmul,fst vecmul,0.02,,,8975673.0,ns,63
vecmul,fst vecmul,0.02,,,9972170.0,ns,70
vecmul,fst vecmul,0.02,,,10967684.0,ns,77
vecmul,fst vecmul,0.02,,,11969168.0,ns,84
vecmul,fst vecmul,0.02,,,13052982.0,ns,91
vecmul,fst vecmul,0.02,,,14002061.0,ns,98
vecmul,fst vecmul,0.02,,,14986906.0,ns,105
vecmul,fst vecmul,0.02,,,15954130.0,ns,112
vecmul,fst vecmul,0.02,,,16981358.0,ns,119
vecmul,fst vecmul,0.02,,,17951117.0,ns,126
vecmul,fst vecmul,0.02,,,19052904.0,ns,133
vecmul,fst vecmul,0.02,,,19951109.0,ns,140
vecmul,fst vecmul,0.02,,,20940096.0,ns,147
vecmul,fst vecmul,0.02,,,21935941.0,ns,154
vecmul,fst vecmul,0.02,,,22932977.0,ns,161
vecmul,fst vecmul,0.02,,,23937755.0,ns,168
vecmul,fst vecmul,0.02,,,24986304.0,ns,175
vecmul,fst vecmul,0.02,,,25925342.0,ns,182
vecmul,fst vecmul,0.02,,,26923323.0,ns,189
vecmul,fst vecmul,0.02,,,27921695.0,ns,196
vecmul,fst vecmul,0.02,,,28943344.0,ns,203
vecmul,fst vecmul,0.02,,,29955679.0,ns,210
vecmul,fst vecmul,0.02,,,30914550.0,ns,217
vecmul,fst vecmul,0.02,,,31914616.0,ns,224
vecmul,fst vecmul,0.02,,,32966141.0,ns,231
vecmul,fst vecmul,0.02,,,33964468.0,ns,238
vecmul,fst vecmul,0.02,,,34913520.0,ns,245
vecmul,fst vecmul,0.02,,,36000929.0,ns,252
vecmul,fst vecmul,0.02,,,36922778.0,ns,259
vecmul,fst vecmul,0.02,,,37897412.0,ns,266
vecmul,fst vecmul,0.02,,,38963220.0,ns,273
vecmul,fst vecmul,0.02,,,39888990.0,ns,280
vecmul,fst vecmul,0.02,,,40890114.0,ns,287
vecmul,fst vecmul,0.02,,,41907301.0,ns,294
vecmul,fst vecmul,0.02,,,42898383.0,ns,301
vecmul,fst vecmul,0.02,,,43876331.0,ns,308
vecmul,fst vecmul,0.02,,,44911274.0,ns,315
vecmul,fst vecmul,0.02,,,45891626.0,ns,322
vecmul,fst vecmul,0.02,,,46899623.0,ns,329
vecmul,fst vecmul,0.02,,,47887036.0,ns,336
vecmul,fst vecmul,0.02,,,48882639.0,ns,343
vecmul,fst vecmul,0.02,,,49856032.0,ns,350
vecmul,fst vecmul,0.02,,,50858679.0,ns,357
vecmul,fst vecmul,0.02,,,51911111.0,ns,364
vecmul,fst vecmul,0.02,,,53090555.0,ns,371
vecmul,fst vecmul,0.02,,,53852168.0,ns,378
vecmul,fst vecmul,0.02,,,54876254.0,ns,385
vecmul,fst vecmul,0.02,,,55847574.0,ns,392
vecmul,fst vecmul,0.02,,,60139459.0,ns,399
vecmul,fst vecmul,0.02,,,57837568.0,ns,406
vecmul,fst vecmul,0.02,,,58948221.0,ns,413
vecmul,fst vecmul,0.02,,,59843629.0,ns,420
vecmul,fst vecmul,0.02,,,61005600.0,ns,427
vecmul,fst vecmul,0.02,,,61822638.0,ns,434
vecmul,fst vecmul,0.02,,,62824461.0,ns,441
vecmul,fst vecmul,0.02,,,63897871.0,ns,448
vecmul,fst vecmul,0.02,,,64817394.0,ns,455
vecmul,fst vecmul,0.02,,,65882451.0,ns,462
vecmul,fst vecmul,0.02,,,66812650.0,ns,469
vecmul,fst vecmul,0.02,,,67835242.0,ns,476
vecmul,fst vecmul,0.02,,,68835419.0,ns,483
vecmul,fst vecmul,0.02,,,69826769.0,ns,490
vecmul,fst vecmul,0.02,,,70803248.0,ns,497
vecmul,fst vecmul,0.02,,,71823605.0,ns,504
vecmul,fst vecmul,0.02,,,72911770.0,ns,511
vecmul,fst vecmul,0.02,,,73859376.0,ns,518
vecmul,fst vecmul,0.02,,,74829345.0,ns,525
vecmul,fst vecmul,0.02,,,75837938.0,ns,532
vecmul,fst vecmul,0.02,,,76788131.0,ns,539
vecmul,fst vecmul,0.02,,,77803576.0,ns,546
vecmul,fst vecmul,0.02,,,78791650.0,ns,553
vecmul,fst vecmul,0.02,,,79830826.0,ns,560
vecmul,fst vecmul,0.02,,,80776372.0,ns,567
vecmul,fst vecmul,0.02,,,81820570.0,ns,574
vecmul,fst vecmul,0.02,,,82822447.0,ns,581
vecmul,fst vecmul,0.02,,,83778507.0,ns,588
vecmul,fst vecmul,0.02,,,84871940.0,ns,595
vecmul,fst vecmul,0.02,,,85756328.0,ns,602
vecmul,fst vecmul,0.02,,,91329260.0,ns,609
vecmul,fst vecmul,0.02,,,87910765.0,ns,616
vecmul,fst vecmul,0.02,,,88782873.0,ns,623
vecmul,fst vecmul,0.02,,,89747214.0,ns,630
vecmul,fst vecmul,0.02,,,90782407.0,ns,637
vecmul,fst vecmul,0.02,,,91819222.0,ns,644
vecmul,fst vecmul,0.02,,,92759599.0,ns,651
vecmul,fst vecmul,0.02,,,93737645.0,ns,658
vecmul,fst vecmul,0.02,,,94731029.0,ns,665
vecmul,fst vecmul,0.02,,,95906004.0,ns,672
vecmul,fst vecmul,0.02,,,96797536.0,ns,679
vecmul,fst vecmul,0.02,,,97741056.0,ns,686
vecmul,fst vecmul,0.02,,,98746624.0,ns,693
vecmul,fst vecmul,0.02,,,99717050.0,ns,700
