group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,csr,0.07,,,1040025.0,ns,22
vecmul,csr,0.07,,,2060798.0,ns,44
vecmul,csr,0.07,,,3092473.0,ns,66
vecmul,csr,0.07,,,4120746.0,ns,88
vecmul,csr,0.07,,,5154070.0,ns,110
vecmul,csr,0.07,,,6186166.0,ns,132
vecmul,csr,0.07,,,7223107.0,ns,154
vecmul,csr,0.07,,,8244339.0,ns,176
vecmul,csr,0.07,,,9276208.0,ns,198
vecmul,csr,0.07,,,10304670.0,ns,220
vecmul,csr,0.07,,,11333488.0,ns,242
vecmul,csr,0.07,,,12366490.0,ns,264
vecmul,csr,0.07,,,13395051.0,ns,286
vecmul,csr,0.07,,,14426555.0,ns,308
vecmul,csr,0.07,,,15458112.0,ns,330
vecmul,csr,0.07,,,16490204.0,ns,352
vecmul,csr,0.07,,,17522798.0,ns,374
vecmul,csr,0.07,,,18547347.0,ns,396
vecmul,csr,0.07,,,19583213.0,ns,418
vecmul,csr,0.07,,,20629681.0,ns,440
vecmul,csr,0.07,,,21667028.0,ns,462
vecmul,csr,0.07,,,22675251.0,ns,484
vecmul,csr,0.07,,,23703505.0,ns,506
vecmul,csr,0.07,,,24732201.0,ns,528
vecmul,csr,0.07,,,25792560.0,ns,550
vecmul,csr,0.07,,,26796435.0,ns,572
vecmul,csr,0.07,,,27832360.0,ns,594
vecmul,csr,0.07,,,28866963.0,ns,616
vecmul,csr,0.07,,,29882939.0,ns,638
vecmul,csr,0.07,,,30916867.0,ns,660
vecmul,csr,0.07,,,31945457.0,ns,682
vecmul,csr,0.07,,,32983777.0,ns,704
vecmul,csr,0.07,,,34028960.0,ns,726
vecmul,csr,0.07,,,35032261.0,ns,748
vecmul,csr,0.07,,,36070320.0,ns,770
vecmul,csr,0.07,,,37168953.0,ns,792
vecmul,csr,0.07,,,38127813.0,ns,814
vecmul,csr,0.07,,,39163159.0,ns,836
vecmul,csr,0.07,,,40223103.0,ns,858
vecmul,csr,0.07,,,41226630.0,ns,880
vecmul,csr,0.07,,,42288110.0,ns,902
vecmul,csr,0.07,,,43286907.0,ns,924
vecmul,csr,0.07,,,44365614.0,ns,946
vecmul,csr,0.07,,,45339946.0,ns,968
vecmul,csr,0.07,,,46379883.0,ns,990
vecmul,csr,0.07,,,47407692.0,ns,1012
vecmul,csr,0.07,,,48448361.0,ns,1034
vecmul,csr,0.07,,,49493220.0,ns,1056
vecmul,csr,0.07,,,50505456.0,ns,1078
vecmul,csr,0.07,,,51535882.0,ns,1100
vecmul,csr,0.07,,,52562383.0,ns,1122
vecmul,csr,0.07,,,53617632.0,ns,1144
vecmul,csr,0.07,,,54628029.0,ns,1166
vecmul,csr,0.07,,,55819617.0,ns,1188
vecmul,csr,0.07,,,56685168.0,ns,1210
vecmul,csr,0.07,,,57717815.0,ns,1232
vecmul,csr,0.07,,,58820576.0,ns,1254
vecmul,csr,0.07,,,59775455.0,ns,1276
vecmul,csr,0.07,,,60873471.0,ns,1298
vecmul,csr,0.07,,,61841827.0,ns,1320
vecmul,csr,0.07,,,62894849.0,ns,1342
vecmul,csr,0.07,,,63909788.0,ns,1364
vecmul,csr,0.07,,,64935177.0,ns,1386
vecmul,csr,0.07,,,65980797.0,ns,1408
vecmul,csr,0.07,,,66989204.0,ns,1430
vecmul,csr,0.07,,,68041465.0,ns,1452
vecmul,csr,0.07,,,69054142.0,ns,1474
vecmul,csr,0.07,,,70084506.0,ns,1496
vecmul,csr,0.07,,,71146476.0,ns,1518
vecmul,csr,0.07,,,72147014.0,ns,1540
vecmul,csr,0.07,,,73173472.0,ns,1562
vecmul,csr,0.07,,,74281143.0,ns,1584
vecmul,csr,0.07,,,75267541.0,ns,1606
vecmul,csr,0.07,,,76301203.0,ns,1628
vecmul,csr,0.07,,,77301914.0,ns,1650
vecmul,csr,0.07,,,78337951.0,ns,1672
vecmul,csr,0.07,,,79362422.0,ns,1694
vecmul,csr,0.07,,,80409964.0,ns,1716
vecmul,csr,0.07,,,81430048.0,ns,1738
vecmul,csr,0.07,,,82453799.0,ns,1760
vecmul,csr,0.07,,,83505396.0,ns,1782
vecmul,csr,0.07,,,84518242.0,ns,1804
vecmul,csr,0.07,,,85684420.0,ns,1826
vecmul,csr,0.07,,,86655782.0,ns,1848
vecmul,csr,0.07,,,87631385.0,ns,1870
vecmul,csr,0.07,,,88664827.0,ns,1892
vecmul,csr,0.07,,,89752382.0,ns,1914
vecmul,csr,0.07,,,93912950.0,ns,1936
vecmul,csr,0.07,,,91810078.0,ns,1958
vecmul,csr,0.07,,,92765984.0,ns,1980
vecmul,csr,0.07,,,93802683.0,ns,2002
vecmul,csr,0.07,,,94849915.0,ns,2024
vecmul,csr,0.07,,,95861260.0,ns,2046
vecmul,csr,0.07,,,96880315.0,ns,2068
vecmul,csr,0.07,,,98014286.0,ns,2090
vecmul,csr,0.07,,,98989464.0,ns,2112
vecmul,csr,0.07,,,99986101.0,ns,2134
vecmul,csr,0.07,,,101142551.0,ns,2156
vecmul,csr,0.07,,,102073055.0,ns,2178
vecmul,csr,0.07,,,103087818.0,ns,2200
