0.9, 2843466, 2839340
0.5, 1585176, 1581050
0.4, 1270602, 1266476
0.3, 956034, 951908
0.2, 641460, 637334
0.1, 325862, 322760
0.09, 294404, 291302
0.08, 262946, 259844
0.07, 231492, 228392
0.06, 200034, 196934
0.05, 167536, 165476
0.04, 138108, 134018
0.03, 106600, 102560
0.02, 74999, 71102
0.015, 59130, 55376
0.01, 42866, 39644
0.005, 25199, 23918
0.0025, 14432, 16052
0.001, 6663, 11336
