0.9,90650020,90661036,90650866,90649732,90644302,90655258,90660028,90658306,90658162,90640438,90647074,90641962,90644974,90649042,90655570,90654178,90636736,90653938,90653620,90653062,90662566,90651352,90653866,90656062,90649384,90651592,90664720,90660046,90652834,90645814
0.5,50386204,50368900,50368534,50381746,50385736,50373514,50378422,50387302,50394130,50386990,50373376,50392150,50383162,50375512,50365192,50388766,50395768,50378422,50357650,50391946,50382472,50366530,50397256,50380114,50384878,50399590,50385442,50394886,50412652,50366104
0.4,40308288,40326696,40288602,40307442,40314552,40311900,40300236,40319712,40322688,40318896,40318314,40326006,40312110,40310424,40316280,40345776,40319112,40310808,40294656,40320996,40307730,40315296,40298106,40324548,40305726,40313178,40343178,40297278,40307118,40319388
0.3,30259404,30248214,30240192,30243624,30251904,30258786,30239748,30251856,30247452,30265014,30253356,30258420,30247470,30246018,30252282,30236412,30238608,30257484,30237606,30267156,30240780,30250182,30236748,30252000,30271194,30237990,30236334,30242034,30242994,30252546
0.2,20176446,20173818,20192430,20188626,20193852,20200332,20174826,20174322,20177886,20191494,20174844,20193720,20203782,20177046,20175072,20178402,20165352,20175564,20183826,20181144,20179932,20188188,20192058,20175642,20171706,20173704,20166582,20192124,20191308,20197362
0.1,10108674,10110012,10116876,10118742,10120710,10112580,10107228,10125648,10112532,10121142,10102758,10110924,10094106,10109562,10116336,10107894,10114098,10113786,10114008,10105224,10111800,10103826,10116030,10123122,10119522,10113588,10118040,10114566,10116936,10113270
0.09,9098874,9104952,9110460,9111900,9117216,9105930,9115914,9106416,9112248,9119406,9107100,9105192,9106278,9116268,9115314,9106488,9105018,9121194,9105222,9106488,9109302,9094398,9105714,9105462,9109284,9105336,9100518,9116352,9114192,9113904
0.08,8104068,8101824,8109174,8100186,8110920,8105838,8105670,8094582,8095206,8113566,8103534,8101410,8102202,8102010,8104632,8107686,8103096,8093874,8094612,8109420,8097594,8103498,8114898,8094864,8099148,8094156,8097402,8105676,8105310,8109408
0.07,7100922,7091250,7102128,7101900,7088022,7094952,7095708,7095474,7094574,7093620,7092234,7099980,7087578,7090320,7097682,7099818,7098624,7093080,7099818,7103820,7093176,7093218,7098318,7092546,7095600,7083084,7088058,7082178,7093572,7105236
0.06,6095544,6093654,6104328,6096156,6092304,6090576,6091152,6100188,6085896,6089124,6090114,6084360,6072828,6086916,6090072,6082206,6078732,6092568,6091608,6091902,6077256,6084456,6095292,6080496,6089382,6089598,6084510,6088098,6083322,6089628
0.05,5082918,5082156,5084232,5081994,5080590,5084676,5091078,5089518,5075592,5073930,5084640,5092584,5093310,5086416,5075832,5088858,5085738,5085798,5083902,5073900,5079984,5083530,5081094,5087370,5081496,5074122,5076432,5088792,5075658,5071530
0.04,4070856,4075452,4075920,4070520,4075950,4067868,4078836,4078164,4079112,4068894,4072296,4077822,4082100,4078272,4071108,4065324,4076856,4079658,4085346,4071798,4080558,4081980,4078482,4078392,4072260,4078968,4076922,4077162,4074036,4065690
0.03,3070560,3073908,3068052,3071016,3058338,3074976,3060840,3076794,3078336,3067446,3078156,3061596,3074400,3070332,3073110,3069714,3076404,3073476,3074274,3069066,3069408,3067440,3075270,3075216,3075348,3077400,3064806,3065454,3063582,3075984
0.02,2061366,2065332,2063958,2056404,2063202,2065278,2066784,2059848,2058912,2061666,2067462,2061510,2065626,2061798,2058396,2068770,2066076,2061000,2065914,2059836,2065788,2064978,2060214,2063652,2063394,2060538,2052780,2065410,2062770,2068362
0.015,1555122,1558092,1557396,1561662,1560066,1560924,1560948,1555092,1553904,1559130,1558422,1559520,1558806,1561740,1563402,1556874,1564344,1556844,1559508,1564338,1559154,1558512,1557450,1564038,1560750,1559688,1553664,1559064,1557852,1568070
0.01,1055022,1054836,1055460,1054662,1058118,1056954,1057668,1053570,1054188,1056108,1051326,1058190,1053504,1057212,1049106,1059636,1052292,1055700,1055736,1055526,1054404,1056012,1054068,1055874,1057050,1054446,1056132,1056348,1054710,1055172
0.005,550254,553530,553374,551004,552516,550716,553638,553470,553956,551412,551166,550692,553146,554832,550926,550434,552384,550482,553158,552948,552750,550320,553428,555048,554490,550134,549378,554406,551820,554352
0.0025,297692,302835,304611,296600,295310,296900,293965,296216,299744,298034,297794,295958,293744,295934,296468,298424,298718,297404,296234,298568,295460,304035,296450,297865,294782,296924,298946,296948,297206,299408
0.001,148509,149446,150494,149259,148287,148555,149852,150647,149750,147653,148793,148048,149734,150772,148637,148018,149450,149630,149072,148075,148161,149390,149432,148133,150306,148354,149654,148391,149616,147528
