group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,csr vecmul,0.01,,,994575.0,ns,81
vecmul,csr vecmul,0.01,,,1984772.0,ns,162
vecmul,csr vecmul,0.01,,,2975685.0,ns,243
vecmul,csr vecmul,0.01,,,3965858.0,ns,324
vecmul,csr vecmul,0.01,,,4956674.0,ns,405
vecmul,csr vecmul,0.01,,,5952074.0,ns,486
vecmul,csr vecmul,0.01,,,6943279.0,ns,567
vecmul,csr vecmul,0.01,,,7941649.0,ns,648
vecmul,csr vecmul,0.01,,,8932699.0,ns,729
vecmul,csr vecmul,0.01,,,9959052.0,ns,810
vecmul,csr vecmul,0.01,,,10953494.0,ns,891
vecmul,csr vecmul,0.01,,,11946834.0,ns,972
vecmul,csr vecmul,0.01,,,12916447.0,ns,1053
vecmul,csr vecmul,0.01,,,13914377.0,ns,1134
vecmul,csr vecmul,0.01,,,14894068.0,ns,1215
vecmul,csr vecmul,0.01,,,15868045.0,ns,1296
vecmul,csr vecmul,0.01,,,16859325.0,ns,1377
vecmul,csr vecmul,0.01,,,17849040.0,ns,1458
vecmul,csr vecmul,0.01,,,18866476.0,ns,1539
vecmul,csr vecmul,0.01,,,19873152.0,ns,1620
vecmul,csr vecmul,0.01,,,20873851.0,ns,1701
vecmul,csr vecmul,0.01,,,21856592.0,ns,1782
vecmul,csr vecmul,0.01,,,22829334.0,ns,1863
vecmul,csr vecmul,0.01,,,23804701.0,ns,1944
vecmul,csr vecmul,0.01,,,24831920.0,ns,2025
vecmul,csr vecmul,0.01,,,25858048.0,ns,2106
vecmul,csr vecmul,0.01,,,26857382.0,ns,2187
vecmul,csr vecmul,0.01,,,27811831.0,ns,2268
vecmul,csr vecmul,0.01,,,28764055.0,ns,2349
vecmul,csr vecmul,0.01,,,29789584.0,ns,2430
vecmul,csr vecmul,0.01,,,30806560.0,ns,2511
vecmul,csr vecmul,0.01,,,31762907.0,ns,2592
vecmul,csr vecmul,0.01,,,32751209.0,ns,2673
vecmul,csr vecmul,0.01,,,33771098.0,ns,2754
vecmul,csr vecmul,0.01,,,34763584.0,ns,2835
vecmul,csr vecmul,0.01,,,35723028.0,ns,2916
vecmul,csr vecmul,0.01,,,36747682.0,ns,2997
vecmul,csr vecmul,0.01,,,37726542.0,ns,3078
vecmul,csr vecmul,0.01,,,38737475.0,ns,3159
vecmul,csr vecmul,0.01,,,39680430.0,ns,3240
vecmul,csr vecmul,0.01,,,40681108.0,ns,3321
vecmul,csr vecmul,0.01,,,41703790.0,ns,3402
vecmul,csr vecmul,0.01,,,42682863.0,ns,3483
vecmul,csr vecmul,0.01,,,43740870.0,ns,3564
vecmul,csr vecmul,0.01,,,44683064.0,ns,3645
vecmul,csr vecmul,0.01,,,45664664.0,ns,3726
vecmul,csr vecmul,0.01,,,46643396.0,ns,3807
vecmul,csr vecmul,0.01,,,47661991.0,ns,3888
vecmul,csr vecmul,0.01,,,48629183.0,ns,3969
vecmul,csr vecmul,0.01,,,49608832.0,ns,4050
vecmul,csr vecmul,0.01,,,50559822.0,ns,4131
vecmul,csr vecmul,0.01,,,51561755.0,ns,4212
vecmul,csr vecmul,0.01,,,52549705.0,ns,4293
vecmul,csr vecmul,0.01,,,53540104.0,ns,4374
vecmul,csr vecmul,0.01,,,54550689.0,ns,4455
vecmul,csr vecmul,0.01,,,55521935.0,ns,4536
vecmul,csr vecmul,0.01,,,56536528.0,ns,4617
vecmul,csr vecmul,0.01,,,57551618.0,ns,4698
vecmul,csr vecmul,0.01,,,58532550.0,ns,4779
vecmul,csr vecmul,0.01,,,59524647.0,ns,4860
vecmul,csr vecmul,0.01,,,60474014.0,ns,4941
vecmul,csr vecmul,0.01,,,61653969.0,ns,5022
vecmul,csr vecmul,0.01,,,62646620.0,ns,5103
vecmul,csr vecmul,0.01,,,63597976.0,ns,5184
vecmul,csr vecmul,0.01,,,64538628.0,ns,5265
vecmul,csr vecmul,0.01,,,65508314.0,ns,5346
vecmul,csr vecmul,0.01,,,66432392.0,ns,5427
vecmul,csr vecmul,0.01,,,67517185.0,ns,5508
vecmul,csr vecmul,0.01,,,68507819.0,ns,5589
vecmul,csr vecmul,0.01,,,69436606.0,ns,5670
vecmul,csr vecmul,0.01,,,70343239.0,ns,5751
vecmul,csr vecmul,0.01,,,71353556.0,ns,5832
vecmul,csr vecmul,0.01,,,72342056.0,ns,5913
vecmul,csr vecmul,0.01,,,73359689.0,ns,5994
vecmul,csr vecmul,0.01,,,74333563.0,ns,6075
