group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,fst vecmul,0.01,,,1085907.0,ns,11
vecmul,fst vecmul,0.01,,,2157367.0,ns,22
vecmul,fst vecmul,0.01,,,3237755.0,ns,33
vecmul,fst vecmul,0.01,,,4316117.0,ns,44
vecmul,fst vecmul,0.01,,,5404059.0,ns,55
vecmul,fst vecmul,0.01,,,6474910.0,ns,66
vecmul,fst vecmul,0.01,,,7555741.0,ns,77
vecmul,fst vecmul,0.01,,,8635531.0,ns,88
vecmul,fst vecmul,0.01,,,9712021.0,ns,99
vecmul,fst vecmul,0.01,,,10789406.0,ns,110
vecmul,fst vecmul,0.01,,,11870392.0,ns,121
vecmul,fst vecmul,0.01,,,12950224.0,ns,132
vecmul,fst vecmul,0.01,,,14044464.0,ns,143
vecmul,fst vecmul,0.01,,,15107978.0,ns,154
vecmul,fst vecmul,0.01,,,16186358.0,ns,165
vecmul,fst vecmul,0.01,,,17266681.0,ns,176
vecmul,fst vecmul,0.01,,,18343986.0,ns,187
vecmul,fst vecmul,0.01,,,19442325.0,ns,198
vecmul,fst vecmul,0.01,,,20515454.0,ns,209
vecmul,fst vecmul,0.01,,,21587031.0,ns,220
vecmul,fst vecmul,0.01,,,22687814.0,ns,231
vecmul,fst vecmul,0.01,,,23739229.0,ns,242
vecmul,fst vecmul,0.01,,,24821547.0,ns,253
vecmul,fst vecmul,0.01,,,25895273.0,ns,264
vecmul,fst vecmul,0.01,,,26981282.0,ns,275
vecmul,fst vecmul,0.01,,,28056754.0,ns,286
vecmul,fst vecmul,0.01,,,29135931.0,ns,297
vecmul,fst vecmul,0.01,,,30289423.0,ns,308
vecmul,fst vecmul,0.01,,,31297740.0,ns,319
vecmul,fst vecmul,0.01,,,32379403.0,ns,330
vecmul,fst vecmul,0.01,,,33451929.0,ns,341
vecmul,fst vecmul,0.01,,,34555973.0,ns,352
vecmul,fst vecmul,0.01,,,35667999.0,ns,363
vecmul,fst vecmul,0.01,,,36693954.0,ns,374
vecmul,fst vecmul,0.01,,,37766832.0,ns,385
vecmul,fst vecmul,0.01,,,38990053.0,ns,396
vecmul,fst vecmul,0.01,,,39936913.0,ns,407
vecmul,fst vecmul,0.01,,,41013000.0,ns,418
vecmul,fst vecmul,0.01,,,42088798.0,ns,429
vecmul,fst vecmul,0.01,,,43223639.0,ns,440
vecmul,fst vecmul,0.01,,,44248955.0,ns,451
vecmul,fst vecmul,0.01,,,45321380.0,ns,462
vecmul,fst vecmul,0.01,,,46419731.0,ns,473
vecmul,fst vecmul,0.01,,,47481903.0,ns,484
vecmul,fst vecmul,0.01,,,48564578.0,ns,495
vecmul,fst vecmul,0.01,,,49634049.0,ns,506
vecmul,fst vecmul,0.01,,,55252950.0,ns,517
vecmul,fst vecmul,0.01,,,51868093.0,ns,528
vecmul,fst vecmul,0.01,,,52906791.0,ns,539
vecmul,fst vecmul,0.01,,,53959302.0,ns,550
vecmul,fst vecmul,0.01,,,55112407.0,ns,561
vecmul,fst vecmul,0.01,,,56118766.0,ns,572
vecmul,fst vecmul,0.01,,,57224330.0,ns,583
vecmul,fst vecmul,0.01,,,58273402.0,ns,594
vecmul,fst vecmul,0.01,,,59359754.0,ns,605
vecmul,fst vecmul,0.01,,,60435733.0,ns,616
vecmul,fst vecmul,0.01,,,61511310.0,ns,627
vecmul,fst vecmul,0.01,,,62604441.0,ns,638
vecmul,fst vecmul,0.01,,,63685879.0,ns,649
vecmul,fst vecmul,0.01,,,64757014.0,ns,660
vecmul,fst vecmul,0.01,,,65836266.0,ns,671
vecmul,fst vecmul,0.01,,,66909533.0,ns,682
vecmul,fst vecmul,0.01,,,68011867.0,ns,693
vecmul,fst vecmul,0.01,,,69060318.0,ns,704
vecmul,fst vecmul,0.01,,,70148168.0,ns,715
vecmul,fst vecmul,0.01,,,71219954.0,ns,726
vecmul,fst vecmul,0.01,,,72374043.0,ns,737
vecmul,fst vecmul,0.01,,,73414537.0,ns,748
vecmul,fst vecmul,0.01,,,74455526.0,ns,759
vecmul,fst vecmul,0.01,,,75535228.0,ns,770
vecmul,fst vecmul,0.01,,,76612104.0,ns,781
vecmul,fst vecmul,0.01,,,77721888.0,ns,792
vecmul,fst vecmul,0.01,,,78793320.0,ns,803
vecmul,fst vecmul,0.01,,,79899274.0,ns,814
vecmul,fst vecmul,0.01,,,80937577.0,ns,825
vecmul,fst vecmul,0.01,,,82036252.0,ns,836
vecmul,fst vecmul,0.01,,,83219429.0,ns,847
vecmul,fst vecmul,0.01,,,84172940.0,ns,858
vecmul,fst vecmul,0.01,,,85248152.0,ns,869
vecmul,fst vecmul,0.01,,,86434302.0,ns,880
vecmul,fst vecmul,0.01,,,87414869.0,ns,891
vecmul,fst vecmul,0.01,,,88482745.0,ns,902
vecmul,fst vecmul,0.01,,,89591767.0,ns,913
vecmul,fst vecmul,0.01,,,90650988.0,ns,924
vecmul,fst vecmul,0.01,,,91766435.0,ns,935
vecmul,fst vecmul,0.01,,,92800094.0,ns,946
vecmul,fst vecmul,0.01,,,93910023.0,ns,957
vecmul,fst vecmul,0.01,,,94974113.0,ns,968
vecmul,fst vecmul,0.01,,,96045131.0,ns,979
vecmul,fst vecmul,0.01,,,97216091.0,ns,990
vecmul,fst vecmul,0.01,,,98195869.0,ns,1001
vecmul,fst vecmul,0.01,,,99272375.0,ns,1012
vecmul,fst vecmul,0.01,,,100372254.0,ns,1023
vecmul,fst vecmul,0.01,,,101420841.0,ns,1034
vecmul,fst vecmul,0.01,,,102527793.0,ns,1045
vecmul,fst vecmul,0.01,,,103611159.0,ns,1056
vecmul,fst vecmul,0.01,,,104671314.0,ns,1067
vecmul,fst vecmul,0.01,,,105747231.0,ns,1078
vecmul,fst vecmul,0.01,,,106998556.0,ns,1089
vecmul,fst vecmul,0.01,,,107984820.0,ns,1100
