group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,csr vecmul,0.005,,,992183.0,ns,134
vecmul,csr vecmul,0.005,,,1977431.0,ns,268
vecmul,csr vecmul,0.005,,,2969159.0,ns,402
vecmul,csr vecmul,0.005,,,3956471.0,ns,536
vecmul,csr vecmul,0.005,,,4939282.0,ns,670
vecmul,csr vecmul,0.005,,,6010193.0,ns,804
vecmul,csr vecmul,0.005,,,6916944.0,ns,938
vecmul,csr vecmul,0.005,,,7920199.0,ns,1072
vecmul,csr vecmul,0.005,,,8914620.0,ns,1206
vecmul,csr vecmul,0.005,,,9905868.0,ns,1340
vecmul,csr vecmul,0.005,,,10899437.0,ns,1474
vecmul,csr vecmul,0.005,,,11878378.0,ns,1608
vecmul,csr vecmul,0.005,,,12852602.0,ns,1742
vecmul,csr vecmul,0.005,,,13876207.0,ns,1876
vecmul,csr vecmul,0.005,,,14844413.0,ns,2010
vecmul,csr vecmul,0.005,,,15829690.0,ns,2144
vecmul,csr vecmul,0.005,,,16831689.0,ns,2278
vecmul,csr vecmul,0.005,,,17812449.0,ns,2412
vecmul,csr vecmul,0.005,,,18768651.0,ns,2546
vecmul,csr vecmul,0.005,,,19756565.0,ns,2680
vecmul,csr vecmul,0.005,,,20767937.0,ns,2814
vecmul,csr vecmul,0.005,,,21712998.0,ns,2948
vecmul,csr vecmul,0.005,,,22710671.0,ns,3082
vecmul,csr vecmul,0.005,,,23814239.0,ns,3216
vecmul,csr vecmul,0.005,,,24711283.0,ns,3350
vecmul,csr vecmul,0.005,,,25671720.0,ns,3484
vecmul,csr vecmul,0.005,,,26681695.0,ns,3618
vecmul,csr vecmul,0.005,,,27698937.0,ns,3752
vecmul,csr vecmul,0.005,,,28655262.0,ns,3886
vecmul,csr vecmul,0.005,,,29655559.0,ns,4020
vecmul,csr vecmul,0.005,,,30680391.0,ns,4154
vecmul,csr vecmul,0.005,,,31639874.0,ns,4288
vecmul,csr vecmul,0.005,,,32666378.0,ns,4422
vecmul,csr vecmul,0.005,,,33683740.0,ns,4556
vecmul,csr vecmul,0.005,,,37856178.0,ns,4690
vecmul,csr vecmul,0.005,,,35593089.0,ns,4824
vecmul,csr vecmul,0.005,,,36627958.0,ns,4958
vecmul,csr vecmul,0.005,,,37616879.0,ns,5092
vecmul,csr vecmul,0.005,,,38513022.0,ns,5226
vecmul,csr vecmul,0.005,,,39571422.0,ns,5360
vecmul,csr vecmul,0.005,,,40563249.0,ns,5494
vecmul,csr vecmul,0.005,,,41518212.0,ns,5628
vecmul,csr vecmul,0.005,,,42503367.0,ns,5762
vecmul,csr vecmul,0.005,,,43534413.0,ns,5896
vecmul,csr vecmul,0.005,,,44638231.0,ns,6030
vecmul,csr vecmul,0.005,,,45466710.0,ns,6164
vecmul,csr vecmul,0.005,,,46538458.0,ns,6298
vecmul,csr vecmul,0.005,,,47470364.0,ns,6432
vecmul,csr vecmul,0.005,,,48446002.0,ns,6566
vecmul,csr vecmul,0.005,,,49489550.0,ns,6700
vecmul,csr vecmul,0.005,,,50406675.0,ns,6834
vecmul,csr vecmul,0.005,,,51422063.0,ns,6968
vecmul,csr vecmul,0.005,,,52493531.0,ns,7102
vecmul,csr vecmul,0.005,,,53375513.0,ns,7236
vecmul,csr vecmul,0.005,,,54424029.0,ns,7370
vecmul,csr vecmul,0.005,,,55348695.0,ns,7504
vecmul,csr vecmul,0.005,,,56394030.0,ns,7638
vecmul,csr vecmul,0.005,,,57462736.0,ns,7772
vecmul,csr vecmul,0.005,,,58300948.0,ns,7906
vecmul,csr vecmul,0.005,,,59337761.0,ns,8040
vecmul,csr vecmul,0.005,,,60373916.0,ns,8174
vecmul,csr vecmul,0.005,,,61437584.0,ns,8308
vecmul,csr vecmul,0.005,,,62476371.0,ns,8442
vecmul,csr vecmul,0.005,,,63335850.0,ns,8576
vecmul,csr vecmul,0.005,,,64271408.0,ns,8710
vecmul,csr vecmul,0.005,,,65348571.0,ns,8844
vecmul,csr vecmul,0.005,,,66178287.0,ns,8978
vecmul,csr vecmul,0.005,,,67341651.0,ns,9112
vecmul,csr vecmul,0.005,,,68195992.0,ns,9246
vecmul,csr vecmul,0.005,,,76224652.0,ns,9380
vecmul,csr vecmul,0.005,,,70729218.0,ns,9514
vecmul,csr vecmul,0.005,,,71674746.0,ns,9648
vecmul,csr vecmul,0.005,,,72541465.0,ns,9782
vecmul,csr vecmul,0.005,,,73472949.0,ns,9916
vecmul,csr vecmul,0.005,,,74432734.0,ns,10050
vecmul,csr vecmul,0.005,,,75375365.0,ns,10184
vecmul,csr vecmul,0.005,,,76422387.0,ns,10318
vecmul,csr vecmul,0.005,,,77517234.0,ns,10452
vecmul,csr vecmul,0.005,,,78397089.0,ns,10586
vecmul,csr vecmul,0.005,,,79272811.0,ns,10720
vecmul,csr vecmul,0.005,,,80275230.0,ns,10854
vecmul,csr vecmul,0.005,,,81328954.0,ns,10988
vecmul,csr vecmul,0.005,,,82282746.0,ns,11122
