group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,fst,0.06,,,1247129.0,ns,4
vecmul,fst,0.06,,,2480320.0,ns,8
vecmul,fst,0.06,,,3744976.0,ns,12
vecmul,fst,0.06,,,4961566.0,ns,16
vecmul,fst,0.06,,,6195526.0,ns,20
vecmul,fst,0.06,,,7433310.0,ns,24
vecmul,fst,0.06,,,8687111.0,ns,28
vecmul,fst,0.06,,,9919028.0,ns,32
vecmul,fst,0.06,,,11152107.0,ns,36
vecmul,fst,0.06,,,12385476.0,ns,40
vecmul,fst,0.06,,,24304485.0,ns,44
vecmul,fst,0.06,,,15276862.0,ns,48
vecmul,fst,0.06,,,16544322.0,ns,52
vecmul,fst,0.06,,,17812733.0,ns,56
vecmul,fst,0.06,,,19089571.0,ns,60
vecmul,fst,0.06,,,20388450.0,ns,64
vecmul,fst,0.06,,,24147782.0,ns,68
vecmul,fst,0.06,,,22319747.0,ns,72
vecmul,fst,0.06,,,23541723.0,ns,76
vecmul,fst,0.06,,,24785898.0,ns,80
vecmul,fst,0.06,,,26080397.0,ns,84
vecmul,fst,0.06,,,27291308.0,ns,88
vecmul,fst,0.06,,,28514951.0,ns,92
vecmul,fst,0.06,,,29735472.0,ns,96
vecmul,fst,0.06,,,30980252.0,ns,100
vecmul,fst,0.06,,,32239879.0,ns,104
vecmul,fst,0.06,,,33466710.0,ns,108
vecmul,fst,0.06,,,34700025.0,ns,112
vecmul,fst,0.06,,,35934894.0,ns,116
vecmul,fst,0.06,,,37180301.0,ns,120
vecmul,fst,0.06,,,38407201.0,ns,124
vecmul,fst,0.06,,,39680194.0,ns,128
vecmul,fst,0.06,,,41034607.0,ns,132
vecmul,fst,0.06,,,42224762.0,ns,136
vecmul,fst,0.06,,,43372935.0,ns,140
vecmul,fst,0.06,,,44664047.0,ns,144
vecmul,fst,0.06,,,45868956.0,ns,148
vecmul,fst,0.06,,,47091241.0,ns,152
vecmul,fst,0.06,,,48384731.0,ns,156
vecmul,fst,0.06,,,49566421.0,ns,160
vecmul,fst,0.06,,,50836276.0,ns,164
vecmul,fst,0.06,,,52045503.0,ns,168
vecmul,fst,0.06,,,53293229.0,ns,172
vecmul,fst,0.06,,,54543798.0,ns,176
vecmul,fst,0.06,,,55787579.0,ns,180
vecmul,fst,0.06,,,57012064.0,ns,184
vecmul,fst,0.06,,,58262125.0,ns,188
vecmul,fst,0.06,,,59496631.0,ns,192
vecmul,fst,0.06,,,60728401.0,ns,196
vecmul,fst,0.06,,,61973123.0,ns,200
vecmul,fst,0.06,,,63214423.0,ns,204
vecmul,fst,0.06,,,64441634.0,ns,208
vecmul,fst,0.06,,,65732044.0,ns,212
vecmul,fst,0.06,,,66897971.0,ns,216
vecmul,fst,0.06,,,68152653.0,ns,220
vecmul,fst,0.06,,,69365155.0,ns,224
vecmul,fst,0.06,,,70587443.0,ns,228
vecmul,fst,0.06,,,71846755.0,ns,232
vecmul,fst,0.06,,,73084536.0,ns,236
vecmul,fst,0.06,,,74333488.0,ns,240
vecmul,fst,0.06,,,75563469.0,ns,244
vecmul,fst,0.06,,,76768415.0,ns,248
vecmul,fst,0.06,,,78023924.0,ns,252
vecmul,fst,0.06,,,79288835.0,ns,256
vecmul,fst,0.06,,,80500513.0,ns,260
vecmul,fst,0.06,,,82030894.0,ns,264
vecmul,fst,0.06,,,82993895.0,ns,268
vecmul,fst,0.06,,,84237640.0,ns,272
vecmul,fst,0.06,,,85446521.0,ns,276
vecmul,fst,0.06,,,86703349.0,ns,280
vecmul,fst,0.06,,,87915538.0,ns,284
vecmul,fst,0.06,,,89185293.0,ns,288
vecmul,fst,0.06,,,90420606.0,ns,292
vecmul,fst,0.06,,,91660250.0,ns,296
vecmul,fst,0.06,,,92922623.0,ns,300
vecmul,fst,0.06,,,94111645.0,ns,304
vecmul,fst,0.06,,,95433423.0,ns,308
vecmul,fst,0.06,,,96629000.0,ns,312
vecmul,fst,0.06,,,97844238.0,ns,316
vecmul,fst,0.06,,,102296557.0,ns,320
vecmul,fst,0.06,,,100356389.0,ns,324
vecmul,fst,0.06,,,101564427.0,ns,328
vecmul,fst,0.06,,,102778795.0,ns,332
vecmul,fst,0.06,,,104020450.0,ns,336
vecmul,fst,0.06,,,105298729.0,ns,340
vecmul,fst,0.06,,,106523096.0,ns,344
vecmul,fst,0.06,,,107958966.0,ns,348
vecmul,fst,0.06,,,109020635.0,ns,352
vecmul,fst,0.06,,,110237874.0,ns,356
vecmul,fst,0.06,,,111450338.0,ns,360
vecmul,fst,0.06,,,112729027.0,ns,364
vecmul,fst,0.06,,,113933240.0,ns,368
vecmul,fst,0.06,,,115192802.0,ns,372
vecmul,fst,0.06,,,116510602.0,ns,376
vecmul,fst,0.06,,,117646102.0,ns,380
vecmul,fst,0.06,,,119046027.0,ns,384
vecmul,fst,0.06,,,120250314.0,ns,388
vecmul,fst,0.06,,,121455369.0,ns,392
vecmul,fst,0.06,,,122712184.0,ns,396
vecmul,fst,0.06,,,123960638.0,ns,400
