group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,fst,0.02,,,1002193.0,ns,7
vecmul,fst,0.02,,,2005048.0,ns,14
vecmul,fst,0.02,,,3005906.0,ns,21
vecmul,fst,0.02,,,3981168.0,ns,28
vecmul,fst,0.02,,,4975470.0,ns,35
vecmul,fst,0.02,,,5970959.0,ns,42
vecmul,fst,0.02,,,6964796.0,ns,49
vecmul,fst,0.02,,,7961619.0,ns,56
vecmul,fst,0.02,,,8985081.0,ns,63
vecmul,fst,0.02,,,10004670.0,ns,70
vecmul,fst,0.02,,,10946379.0,ns,77
vecmul,fst,0.02,,,11941265.0,ns,84
vecmul,fst,0.02,,,12936027.0,ns,91
vecmul,fst,0.02,,,13934559.0,ns,98
vecmul,fst,0.02,,,14930376.0,ns,105
vecmul,fst,0.02,,,15921143.0,ns,112
vecmul,fst,0.02,,,16918893.0,ns,119
vecmul,fst,0.02,,,17925763.0,ns,126
vecmul,fst,0.02,,,18938524.0,ns,133
vecmul,fst,0.02,,,19899759.0,ns,140
vecmul,fst,0.02,,,20921478.0,ns,147
vecmul,fst,0.02,,,21998189.0,ns,154
vecmul,fst,0.02,,,22893177.0,ns,161
vecmul,fst,0.02,,,23978358.0,ns,168
vecmul,fst,0.02,,,24876682.0,ns,175
vecmul,fst,0.02,,,27114440.0,ns,182
vecmul,fst,0.02,,,30123087.0,ns,189
vecmul,fst,0.02,,,27900760.0,ns,196
vecmul,fst,0.02,,,29006601.0,ns,203
vecmul,fst,0.02,,,29919393.0,ns,210
vecmul,fst,0.02,,,30852258.0,ns,217
vecmul,fst,0.02,,,31865967.0,ns,224
vecmul,fst,0.02,,,32836058.0,ns,231
vecmul,fst,0.02,,,33835724.0,ns,238
vecmul,fst,0.02,,,34878972.0,ns,245
vecmul,fst,0.02,,,35823269.0,ns,252
vecmul,fst,0.02,,,36843662.0,ns,259
vecmul,fst,0.02,,,37865812.0,ns,266
vecmul,fst,0.02,,,38812057.0,ns,273
vecmul,fst,0.02,,,39848673.0,ns,280
vecmul,fst,0.02,,,40800728.0,ns,287
vecmul,fst,0.02,,,41922883.0,ns,294
vecmul,fst,0.02,,,42793511.0,ns,301
vecmul,fst,0.02,,,43870873.0,ns,308
vecmul,fst,0.02,,,44813616.0,ns,315
vecmul,fst,0.02,,,45778170.0,ns,322
vecmul,fst,0.02,,,46839560.0,ns,329
vecmul,fst,0.02,,,47771708.0,ns,336
vecmul,fst,0.02,,,48789997.0,ns,343
vecmul,fst,0.02,,,49816480.0,ns,350
vecmul,fst,0.02,,,50879629.0,ns,357
vecmul,fst,0.02,,,51760343.0,ns,364
vecmul,fst,0.02,,,52792409.0,ns,371
vecmul,fst,0.02,,,53770353.0,ns,378
vecmul,fst,0.02,,,54735911.0,ns,385
vecmul,fst,0.02,,,55751521.0,ns,392
vecmul,fst,0.02,,,56770396.0,ns,399
vecmul,fst,0.02,,,57711973.0,ns,406
vecmul,fst,0.02,,,58703376.0,ns,413
vecmul,fst,0.02,,,59723065.0,ns,420
vecmul,fst,0.02,,,60698921.0,ns,427
vecmul,fst,0.02,,,61699061.0,ns,434
vecmul,fst,0.02,,,62717461.0,ns,441
vecmul,fst,0.02,,,63687222.0,ns,448
vecmul,fst,0.02,,,64733226.0,ns,455
vecmul,fst,0.02,,,65695156.0,ns,462
vecmul,fst,0.02,,,66727464.0,ns,469
vecmul,fst,0.02,,,67763586.0,ns,476
vecmul,fst,0.02,,,68683444.0,ns,483
vecmul,fst,0.02,,,69782669.0,ns,490
vecmul,fst,0.02,,,70655579.0,ns,497
vecmul,fst,0.02,,,71677037.0,ns,504
vecmul,fst,0.02,,,72649208.0,ns,511
vecmul,fst,0.02,,,73641226.0,ns,518
vecmul,fst,0.02,,,74646579.0,ns,525
vecmul,fst,0.02,,,75675646.0,ns,532
vecmul,fst,0.02,,,76661804.0,ns,539
vecmul,fst,0.02,,,77637208.0,ns,546
vecmul,fst,0.02,,,78673126.0,ns,553
vecmul,fst,0.02,,,79660975.0,ns,560
vecmul,fst,0.02,,,80695937.0,ns,567
vecmul,fst,0.02,,,81606013.0,ns,574
vecmul,fst,0.02,,,82645716.0,ns,581
vecmul,fst,0.02,,,83617641.0,ns,588
vecmul,fst,0.02,,,84592253.0,ns,595
vecmul,fst,0.02,,,85584579.0,ns,602
vecmul,fst,0.02,,,86611736.0,ns,609
vecmul,fst,0.02,,,87661666.0,ns,616
vecmul,fst,0.02,,,88573185.0,ns,623
vecmul,fst,0.02,,,89562441.0,ns,630
vecmul,fst,0.02,,,90551745.0,ns,637
vecmul,fst,0.02,,,91673540.0,ns,644
vecmul,fst,0.02,,,92626262.0,ns,651
vecmul,fst,0.02,,,93628701.0,ns,658
vecmul,fst,0.02,,,94688737.0,ns,665
vecmul,fst,0.02,,,95527998.0,ns,672
vecmul,fst,0.02,,,96579999.0,ns,679
vecmul,fst,0.02,,,97625748.0,ns,686
vecmul,fst,0.02,,,98527320.0,ns,693
vecmul,fst,0.02,,,99521395.0,ns,700
