group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vecmul,fst vecmul,0.09,,,1287071.0,ns,3
vecmul,fst vecmul,0.09,,,2562424.0,ns,6
vecmul,fst vecmul,0.09,,,3842442.0,ns,9
vecmul,fst vecmul,0.09,,,5122346.0,ns,12
vecmul,fst vecmul,0.09,,,6406922.0,ns,15
vecmul,fst vecmul,0.09,,,7694553.0,ns,18
vecmul,fst vecmul,0.09,,,8965656.0,ns,21
vecmul,fst vecmul,0.09,,,10246815.0,ns,24
vecmul,fst vecmul,0.09,,,11526485.0,ns,27
vecmul,fst vecmul,0.09,,,12805219.0,ns,30
vecmul,fst vecmul,0.09,,,14094257.0,ns,33
vecmul,fst vecmul,0.09,,,15370073.0,ns,36
vecmul,fst vecmul,0.09,,,16651027.0,ns,39
vecmul,fst vecmul,0.09,,,17932398.0,ns,42
vecmul,fst vecmul,0.09,,,19209387.0,ns,45
vecmul,fst vecmul,0.09,,,20489196.0,ns,48
vecmul,fst vecmul,0.09,,,21769362.0,ns,51
vecmul,fst vecmul,0.09,,,23081281.0,ns,54
vecmul,fst vecmul,0.09,,,24340054.0,ns,57
vecmul,fst vecmul,0.09,,,25620910.0,ns,60
vecmul,fst vecmul,0.09,,,26895409.0,ns,63
vecmul,fst vecmul,0.09,,,28198232.0,ns,66
vecmul,fst vecmul,0.09,,,29457509.0,ns,69
vecmul,fst vecmul,0.09,,,30737076.0,ns,72
vecmul,fst vecmul,0.09,,,32019531.0,ns,75
vecmul,fst vecmul,0.09,,,33297640.0,ns,78
vecmul,fst vecmul,0.09,,,34575417.0,ns,81
vecmul,fst vecmul,0.09,,,35961397.0,ns,84
vecmul,fst vecmul,0.09,,,37289576.0,ns,87
vecmul,fst vecmul,0.09,,,38421668.0,ns,90
vecmul,fst vecmul,0.09,,,39707293.0,ns,93
vecmul,fst vecmul,0.09,,,40998734.0,ns,96
vecmul,fst vecmul,0.09,,,42263258.0,ns,99
vecmul,fst vecmul,0.09,,,43548477.0,ns,102
vecmul,fst vecmul,0.09,,,44836718.0,ns,105
vecmul,fst vecmul,0.09,,,46130411.0,ns,108
vecmul,fst vecmul,0.09,,,47405812.0,ns,111
vecmul,fst vecmul,0.09,,,48668667.0,ns,114
vecmul,fst vecmul,0.09,,,49942195.0,ns,117
vecmul,fst vecmul,0.09,,,51229708.0,ns,120
vecmul,fst vecmul,0.09,,,52518844.0,ns,123
vecmul,fst vecmul,0.09,,,53785150.0,ns,126
vecmul,fst vecmul,0.09,,,55091362.0,ns,129
vecmul,fst vecmul,0.09,,,56375450.0,ns,132
vecmul,fst vecmul,0.09,,,57653253.0,ns,135
